taxid,species_taxid,species_name,assembly_accession,source_category,tar_file,member_name,summary_source,refseq_category,assembly_level,genome_size_bp,available_tokens,gc_content,n_fraction,ftp_path,domain,superkingdom,kingdom,phylum,class,order,family,genus,species,full_lineage,human_distance_rank,major_group
1973888,1973888,Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,GCA_002789615.1,gtdb_v220,fasta/gtdb_v220/v214/batch2.tar,batch2/GCA_002789615.1.fasta.gz,genbank,na,Scaffold,2111409,2111409,0.49,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/789/615/GCA_002789615.1_ASM278961v1/,Bacteria,,Pseudomonadati,Acidobacteriota,,,,,Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,root|cellular organisms|Bacteria|Pseudomonadati|Acidobacteriota|unclassified Acidobacteriota|Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,8,bacteria
2026724,2026724,Chloroflexota bacterium,GCA_023480885.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_023480885.1.fasta.gz,genbank,na,Scaffold,3094561,3094561,0.575,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/480/885/GCA_023480885.1_ASM2348088v1/,Bacteria,,Bacillati,Chloroflexota,,,,,Chloroflexota bacterium,root|cellular organisms|Bacteria|Bacillati|Chloroflexota|unclassified Chloroflexota|Chloroflexota bacterium,8,bacteria
4866,4866,Dipsacomyces acuminosporus,GCA_027576915.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch36.tar,batch36/GCA_027576915.1.fasta.gz,genbank,reference genome,Scaffold,15199616,15199616,0.515,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/576/915/GCA_027576915.1_UCR_DiacNRRL2925_1.0/,Eukaryota,,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Dipsacomyces,Dipsacomyces acuminosporus,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Fungi incertae sedis|Kickxellomycota|Kickxellomycotina|Kickxellomycetes|Kickxellales|Kickxellaceae|Dipsacomyces|Dipsacomyces acuminosporus,7,fungus
2306968,2306968,Ktedonobacterales bacterium,GCA_025928125.1,gtdb_v220,fasta/gtdb_v220/v220_update.tar,v220_update/GCA_025928125.1.fasta.gz,genbank,na,Contig,4292522,4292522,0.625,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/928/125/GCA_025928125.1_ASM2592812v1/,Bacteria,,Bacillati,Chloroflexota,Ktedonobacteria,Ktedonobacterales,,,Ktedonobacterales bacterium,root|cellular organisms|Bacteria|Bacillati|Chloroflexota|Ktedonobacteria|Ktedonobacterales|unclassified Ktedonobacterales|Ktedonobacterales bacterium,8,bacteria
1437009,1437009,Chenggangzhangella methanolivorans,GCA_019797865.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_019797865.1.fasta.gz,genbank,na,Complete Genome,5542510,5542510,0.68,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/797/865/GCA_019797865.1_ASM1979786v1/,Bacteria,,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylopilaceae,Chenggangzhangella,Chenggangzhangella methanolivorans,root|cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Methylopilaceae|Chenggangzhangella|Chenggangzhangella methanolivorans,8,bacteria
1879010,1879010,Bacillota bacterium,GCA_023420935.1,gtdb_v220,fasta/gtdb_v220/v214/batch2.tar,batch2/GCA_023420935.1.fasta.gz,genbank,na,Contig,4006147,4006147,0.35,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/420/935/GCA_023420935.1_ASM2342093v1/,Bacteria,,Bacillati,Bacillota,,,,,Bacillota bacterium,root|cellular organisms|Bacteria|Bacillati|Bacillota|unclassified Bacillota|Bacillota bacterium,8,bacteria
512402,512402,Mycolicibacter heraklionensis,GCA_001673575.1,gtdb_v220,fasta/gtdb_v220/v214/batch2.tar,batch2/GCA_001673575.1.fasta.gz,genbank,na,Contig,4718971,4718971,0.675,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/673/575/GCA_001673575.1_ASM167357v1/,Bacteria,,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,Mycolicibacter heraklionensis,root|cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Mycobacteriales|Mycobacteriaceae|Mycolicibacter|Mycolicibacter heraklionensis,8,bacteria
2052149,2052149,Candidatus Aminicenantota bacterium,GCA_030617525.1,gtdb_v220,fasta/gtdb_v220/v220_update.tar,v220_update/GCA_030617525.1.fasta.gz,genbank,na,Contig,2908981,2908981,0.435,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/617/525/GCA_030617525.1_ASM3061752v1/,Bacteria,,,Candidatus Aminicenantota,,,,,Candidatus Aminicenantota bacterium,root|cellular organisms|Bacteria|Bacteria incertae sedis|Bacteria candidate phyla|Candidatus Aminicenantota|unclassified Candidatus Aminicenantota|Candidatus Aminicenantota bacterium,8,bacteria
478801,1276,Kytococcus sedentarius DSM 20547,GCF_000023925.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCF_000023925.1.fasta.gz,refseq,na,Complete Genome,2785024,2785024,0.715,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/925/GCF_000023925.1_ASM2392v1/,Bacteria,,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Kytococcaceae,Kytococcus,Kytococcus sedentarius,root|cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Micrococcales|Kytococcaceae|Kytococcus|Kytococcus sedentarius|Kytococcus sedentarius DSM 20547,8,bacteria
1947883,1947883,Cyanobacteria bacterium UBA3301,GCA_002361485.1,gtdb_v220,fasta/gtdb_v220/v214/batch1.tar,batch1/GCA_002361485.1.fasta.gz,genbank,na,Scaffold,1860845,1860845,0.34,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/361/485/GCA_002361485.1_ASM236148v1/,Bacteria,,Bacillati,Cyanobacteriota,,,,,Cyanobacteria bacterium UBA3301,root|cellular organisms|Bacteria|Bacillati|Cyanobacteriota/Melainabacteria group|Cyanobacteriota|unclassified Cyanobacteriota|Cyanobacteria bacterium UBA3301,8,bacteria
