taxid,species_taxid,species_name,assembly_accession,source_category,tar_file,member_name,summary_source,refseq_category,assembly_level,genome_size_bp,available_tokens,gc_content,n_fraction,ftp_path,domain,superkingdom,kingdom,phylum,class,order,family,genus,species,full_lineage,human_distance_rank,major_group
241442,241442,Beaufortia kweichowensis,GCA_019155185.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch75.tar,batch75/GCA_019155185.1.fasta.gz,genbank,reference genome,Chromosome,448565924,448565924,0.38,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/155/185/GCA_019155185.1_ASM1915518v1/,Eukaryota,,Metazoa,Chordata,Actinopteri,Cypriniformes,Gastromyzontidae,Beaufortia,Beaufortia kweichowensis,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Ostariophysi|Otophysi|Cypriniphysae|Cypriniformes|Cobitoidei|Gastromyzontidae|Beaufortia|Beaufortia kweichowensis,5,non_mammal_vertebrate
538011,538011,Ormyrus rosae,GCA_035047165.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch26.tar,batch26/GCA_035047165.1.fasta.gz,genbank,reference genome,Scaffold,286775089,286775089,0.385,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/047/165/GCA_035047165.1_ASM3504716v1/,Eukaryota,,Metazoa,Arthropoda,Insecta,Hymenoptera,Ormyridae,Ormyrus,Ormyrus rosae,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Altocrustacea|Allotriocarida|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Eumetabola|Endopterygota|Hymenoptera|Apocrita|Proctotrupomorpha|Chalcidoidea|Ormyridae|Ormyrinae|Ormyrus|Ormyrus rosae,6,invertebrate_animal
1498855,1498855,Amoeboaphelidium occidentale,GCA_023515795.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch83.tar,batch83/GCA_023515795.1.fasta.gz,genbank,reference genome,Scaffold,13541326,13541326,0.4,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/795/GCA_023515795.1_ASM2351579v1/,Eukaryota,,Fungi,Aphelidiomycota,Aphelidea,,,Amoeboaphelidium,Amoeboaphelidium occidentale,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Fungi incertae sedis|Aphelidiomycota|Aphelidea|Amoeboaphelidium|Amoeboaphelidium occidentale,7,fungus
285811,285811,Pseudopyrenochaeta lycopersici,GCA_003313425.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch88.tar,batch88/GCA_003313425.1.fasta.gz,genbank,reference genome,Contig,62731430,62731430,0.47,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/425/GCA_003313425.1_ASM331342v1/,Eukaryota,,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pseudopyrenochaetaceae,Pseudopyrenochaeta,Pseudopyrenochaeta lycopersici,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|dothideomyceta|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporineae|Pseudopyrenochaetaceae|Pseudopyrenochaeta|Pseudopyrenochaeta lycopersici,7,fungus
1265871,1265871,Doris montereyensis,GCA_037039925.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch40.tar,batch40/GCA_037039925.1.fasta.gz,genbank,reference genome,Scaffold,520284697,520284697,0.37,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/039/925/GCA_037039925.1_xgDorMont1_p1.0/,Eukaryota,,Metazoa,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,Doris montereyensis,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Doridina|Eudoridoidea|Dorididae|Doris|Doris montereyensis,6,invertebrate_animal
27381,27381,Funneliformis mosseae,GCA_910592005.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch4.tar,batch4/GCA_910592005.1.fasta.gz,genbank,reference genome,Contig,145719962,145719962,0.25,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/592/005/GCA_910592005.1_Funneliformis_mosseae_87-6_pot_B_2015/,Eukaryota,,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis mosseae,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Fungi incertae sedis|Glomeromycota|Glomeromycotina|Glomeromycetes|Glomerales|Glomeraceae|Funneliformis|Funneliformis mosseae,7,fungus
139825,139825,Sparassis crispa,GCF_003851025.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch90.tar,batch90/GCF_003851025.1.fasta.gz,refseq,reference genome,Contig,39020349,39020349,0.515,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/025/GCF_003851025.1_SCP_1.1/,Eukaryota,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Sparassidaceae,Sparassis,Sparassis crispa,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetes incertae sedis|Polyporales|Sparassidaceae|Sparassis|Sparassis crispa,7,fungus
68879,68879,Penicillium paneum,GCA_023627375.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch19.tar,batch19/GCA_023627375.1.fasta.gz,genbank,na,Scaffold,27179947,27179947,0.485,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/627/375/GCA_023627375.1_ASM2362737v1/,Eukaryota,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium paneum,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Aspergillaceae|Penicillium|Penicillium paneum,7,fungus
66387,66387,Ficus religiosa,GCA_024759925.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch22.tar,batch22/GCA_024759925.1.fasta.gz,genbank,reference genome,Scaffold,406103086,406103086,0.34,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/759/925/GCA_024759925.1_ASM2475992v1/,Eukaryota,,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus religiosa,root|cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|eudicotyledons|Gunneridae|Pentapetalae|rosids|fabids|Rosales|Moraceae|Ficeae|Ficus|Ficus religiosa,7,plant
1314785,5630,Laetiporus sulphureus 93-53,GCF_001632365.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch47.tar,batch47/GCF_001632365.1.fasta.gz,refseq,reference genome,Scaffold,39909705,39909705,0.515,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/365/GCF_001632365.1_Laesu1/,Eukaryota,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,Laetiporus sulphureus,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetes incertae sedis|Polyporales|Laetiporaceae|Laetiporus|Laetiporus sulphureus|Laetiporus sulphureus 93-53,7,fungus
2831172,2831172,Mycena sp. WM,GCA_023547045.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch32.tar,batch32/GCA_023547045.1.fasta.gz,genbank,na,Scaffold,166986402,166986402,0.51,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/547/045/GCA_023547045.1_ASM2354704v1/,Eukaryota,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena sp. WM,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Marasmiineae|Mycenaceae|Mycena|unclassified Mycena|Mycena sp. WM,7,fungus
